name,country,latitude,longitude,suburb,property_type,room_type,bed_type,price,number_of_reviews,rating,occupancy_30,occupancy_60,occupancy_90,occupancy_365
"Newtown: comfort, character and charm",Australia,-33.90528,151.17845,Newtown/Enmore,House,Private room,Real Bed,65.0,3,10.0,1.0,1.0,1.0,1.0
Apartment next to Las Ramblas and Paral·lel,Spain,41.37671,2.16481,Eixample,Apartment,Entire home/apt,Real Bed,60.0,7,9.0,0.4333333333333333,0.4499999999999999,0.3555555555555555,0.2082191780821918
Magic Escape Apartments 3 - Douro River Views,Portugal,41.13667,-8.61047,Vila Nova de Gaia,Apartment,Entire home/apt,Real Bed,85.0,103,10.0,0.3333333333333333,0.2166666666666666,0.2111111111111111,0.1397260273972602
V3旺角地鐵公交近在咫尺/購物首選/窗戶陽光充沛/精裝修乾淨舒適雙人房,Hong Kong,22.32234,114.16735,Yau Tsim Mong,Serviced apartment,Private room,Real Bed,353.0,64,9.0,0.3,0.2666666666666667,0.1777777777777778,0.7972602739726027
Apartamento T4 Praia Azul,Portugal,41.34642,-8.75108,Vila do Conde,Apartment,Entire home/apt,Real Bed,105.0,11,10.0,0.0666666666666666,0.15,0.1555555555555555,0.1972602739726027
Cozy Studio in Wan Chai,Hong Kong,22.2795,114.17872,Wan Chai,Apartment,Entire home/apt,Real Bed,314.0,0,,1.0,1.0,1.0,1.0
V4旺角地鐵公交近在咫尺/乾淨舒適/精裝修/購物首選/獨立衛浴/雙人房,Hong Kong,22.32124,114.16922,Mong Kok,Serviced apartment,Private room,Real Bed,338.0,65,9.0,0.3666666666666667,0.2833333333333333,0.1888888888888888,0.8
SINGLE room (Furnished) KennedyTown (MTR ExitB),Hong Kong,22.28175,114.13011,Kennedy Town,Apartment,Private room,Real Bed,196.0,4,10.0,0.7,0.7833333333333333,0.5222222222222221,0.8821917808219178
Cozy w/ Yard & Walking Distance to Waikiki - BROC,United States,21.27482,-157.8141,Oʻahu,Apartment,Entire home/apt,Real Bed,110.0,67,9.0,0.4333333333333333,0.2166666666666666,0.1444444444444445,0.0356164383561643
Old School Hospitality,United States,19.57658,-154.97636,Island of Hawaiʻi,Guest suite,Entire home/apt,Real Bed,110.0,61,10.0,0.4,0.3333333333333333,0.3,0.5808219178082192
The Porto Concierge - Green Building - 1E,Portugal,41.14922,-8.60874,Porto,Apartment,Entire home/apt,Real Bed,55.0,23,8.0,0.6,0.4,0.2666666666666667,0.0657534246575342
Warehouse style studio,Australia,-33.6212,151.32068,Avalon,Guest suite,Entire home/apt,Real Bed,151.0,9,10.0,0.0999999999999999,0.0999999999999999,0.0666666666666666,0.0164383561643836
